Location,Lat-Long,Type of Trip,Cost
Abu Dhabi Mall,"24.496266, 54.383204",Round trip (Both),24
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),44
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),40
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),35
Eastern Mangroves Hotel,"24.446590, 54.437325",Round trip (Both),27
Emirates Palace,"24.461805, 54.317373",Round trip (Both),50
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),45
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),44
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),47
Grand Mosque,"24.412836, 54.476305",Round trip (Both),65
Grand Mosque,"24.412836, 54.476305",Round trip (Both),65
Little Lamb Hot Pot,"24.488890, 54.366570",From,27
Louvre Abu Dhabi,"24.534014, 54.398918",Round trip (Both),30
Louvre Abu Dhabi,"24.534014, 54.398918",Round trip (Both),30
Nearest KFC,"24.498067, 54.379724",Round trip (Both),24
Saadiyat Beach,"24.548304, 54.435404",Round trip (Both),12
Saadiyat Beach,"24.548304, 54.435404",Round trip (Both),12
US Embassy,"24.424694, 54.434072",Round trip (Both),50
Waitrose,"24.550759, 54.450308",Round trip (Both),20
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",From,30
Yas Mall,"24.488856, 54.609089",Round trip (Both),40
Yas Mall,"24.488856, 54.609089",Round trip (Both),50
Yas Mall,"24.488856, 54.609089",Round trip (Both),60
