Location,Lat-Long,Type of Trip,Cost
Abu Dhabi Bus Station,"24.470642, 54.376640",To,35
Abu Dhabi Bus Station,"24.470642, 54.376640",To,33
Abu Dhabi Int. Airport,"24.441997, 54.650074",To,70
Abu Dhabi Int. Airport,"24.441997, 54.650074",To,78
Abu Dhabi Mall,"24.496266, 54.383204",Round trip (Both),24
Al Wahda,"24.470337, 54.372715",To,27
Al Wahda,"24.470337, 54.372715",To,35
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),44
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),35
Al Wahda Mall,"24.470337, 54.372715",Round trip (Both),35
Al Wahda Mall,"24.470337, 54.372715",To,50
American Center,"24.461130, 54.362399",To,40
Corniche,"24.490671, 54.350817",To,25
Eastern Mangroves Hotel,"24.446590, 54.437325",Round trip (Both),35
Emirates Palace,"24.461805, 54.317373",Round trip (Both),40
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),47
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),44
Emirates Post Central Office,"24.481153, 54.367715",Round trip (Both),55
Grand Mosque,"24.412836, 54.476305",Round trip (Both),60
Grand Mosque,"24.412836, 54.476305",Round trip (Both),65
Louvre Abu Dhabi,"24.534014, 54.398918",Round trip (Both),30
Louvre Abu Dhabi,"24.534014, 54.398918",Round trip (Both),28
Louvre Abu Dhabi,"24.534014, 54.398918",To,30
Nearest KFC,"24.498067, 54.379724",Round trip (Both),24
Park St. Regis Hotel,"24.539772, 54.425106",To,12
Saadiyat Beach,"24.548304, 54.435404",Round trip (Both),12
Saadiyat Beach,"24.548304, 54.435404",Round trip (Both),12
US Embassy,"24.424694, 54.434072",Round trip (Both),50
Waitrose,"24.550759, 54.450308",Round trip (Both),20
Yas Mall,"24.488856, 54.609089",Round trip (Both),33
Yas Mall,"24.488856, 54.609089",Round trip (Both),45
Yas Mall,"24.488856, 54.609089",Round trip (Both),40
